ID,survived
1000,0
1001,1
1002,1
1003,0
1004,1
1005,1
1006,0
1007,0
1008,1
1009,1
1010,1
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,0
1018,1
1019,0
1020,0
1021,0
1022,0
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,1
1030,1
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,1
1040,1
1041,0
1042,0
1043,1
1044,1
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,1
1056,0
1057,1
1058,0
1059,0
1060,1
1061,0
1062,0
1063,1
1064,0
1065,0
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,1
1074,0
1075,1
1076,0
1077,1
1078,0
1079,0
1080,0
1081,1
1082,0
1083,1
1084,0
1085,1
1086,0
1087,1
1088,1
1089,0
1090,0
1091,0
1092,0
1093,0
1094,1
1095,0
1096,0
1097,0
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,1
1106,0
1107,0
1108,0
1109,0
1110,1
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,0
1118,0
1119,1
1120,0
1121,0
1122,0
1123,1
1124,1
1125,1
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,1
1138,0
1139,1
1140,0
1141,0
1142,0
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,1
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,1
1157,0
1158,0
1159,1
1160,1
1161,0
1162,0
1163,1
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,1
1171,0
1172,0
1173,1
1174,0
1175,0
1176,0
1177,1
1178,1
1179,0
1180,0
1181,0
1182,0
1183,1
1184,0
1185,1
1186,0
1187,0
1188,1
1189,0
1190,0
1191,1
1192,1
1193,0
1194,1
1195,1
1196,1
1197,0
1198,0
1199,1
1200,0
1201,1
1202,0
1203,0
1204,0
1205,0
1206,1
1207,1
1208,1
1209,0
1210,0
1211,0
1212,1
1213,1
1214,1
1215,0
1216,0
1217,0
1218,1
1219,0
1220,1
1221,0
1222,1
1223,0
1224,1
1225,1
1226,1
1227,1
1228,0
1229,0
1230,0
1231,0
1232,0
1233,1
1234,1
1235,1
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,1
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,1
1255,0
1256,1
1257,0
1258,0
1259,0
1260,1
1261,0
1262,0
1263,0
1264,0
1265,1
1266,0
1267,0
1268,0
1269,0
1270,1
1271,0
1272,1
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,1
1281,0
1282,0
1283,0
1284,0
1285,1
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,1
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,1
1300,1
1301,0
1302,0
1303,1
1304,0
1305,0
1306,0
1307,1
1308,0
